index,name,fandom,year_joined,latest_year,total_years,gender,race,orientation,country_of_origin,continent,language
Overwatch - Moira O'Deorain,Moira O'Deorain,Overwatch,2019,2020,2,F,White,unspecified,USA,North America,English
Overwatch - Shimada Hanzo,Shimada Hanzo,Overwatch,2017,2019,2,M,E Asian,unspecified,USA,North America,English
Pacific Rim - Hermann Gottlieb,Hermann Gottlieb,Pacific Rim,2014,2015,2,M,White,str8,USA,North America,English
Pacific Rim - Newton Geiszler,Newton Geiszler,Pacific Rim,2014,2015,2,M,White,bi,USA,North America,English
Panic! at the Disco - Brendon Urie,Brendon Urie,Panic! at the Disco,2013,2013,1,M,White (Multi),bi,USA,North America,English
Panic! at the Disco - Ryan Ross,Ryan Ross,Panic! at the Disco,2013,2013,1,M,White,unspecified,USA,North America,English
Panic! at the Disco - Spencer Smith,Spencer Smith,Panic! at the Disco,2013,2013,1,M,White,str8,USA,North America,English
Percy Jackson - Annabeth Chase,Annabeth Chase,Percy Jackson,2015,2024,6,F,White,str8,USA,North America,English
Percy Jackson - Nico di Angelo,Nico di Angelo,Percy Jackson,2016,2024,3,M,White,gay,USA,North America,English
Percy Jackson - Percy Jackson,Percy Jackson,Percy Jackson,2020,2024,5,M,White,str8,USA,North America,English
Percy Jackson - Piper McLean,Piper McLean,Percy Jackson,2015,2015,1,F,Am Ind,bi,USA,North America,English
Percy Jackson - Will Solace,Will Solace,Percy Jackson,2016,2024,3,M,White,bi,USA,North America,English
Person of Interest - Samantha Groves | Root,Samantha Groves | Root,Person of Interest,2015,2024,9,F,White,gay,USA,North America,English
Person of Interest - Sameen Shaw,Sameen Shaw,Person of Interest,2015,2024,9,F,MENA (Multi),bi,USA,North America,English
Persona - Akechi Goro,Akechi Goro,Persona,2020,2024,3,M,E Asian,unspecified,Japan,Asia,Japanese
Persona - Amagi Yukiko,Amagi Yukiko,Persona,2015,2015,1,F,E Asian,str8,Japan,Asia,Japanese
Persona - Amamiya Ren | Joker | Player Character,Amamiya Ren | Joker | Player Character,Persona,2020,2024,3,M,E Asian,str8,Japan,Asia,Japanese
Persona - Satonaka Chie,Satonaka Chie,Persona,2015,2015,1,F,E Asian,str8,Japan,Asia,Japanese
Pitch Perfect - Beca Mitchell,Beca Mitchell,Pitch Perfect,2014,2024,10,F,White,bi,USA,North America,English
Pitch Perfect - Chloe Beale,Chloe Beale,Pitch Perfect,2014,2024,10,F,White,bi,USA,North America,English
Power Rangers - Kimberly Ann 'Kim' Hart | Pink Ranger,Kimberly Ann 'Kim' Hart | Pink Ranger,Power Rangers,2017,2024,7,F,Ambig,str8,Japan / USA,Asia / North America,English
Power Rangers - Trini Kwan | Yellow Ranger,Trini Kwan | Yellow Ranger,Power Rangers,2017,2024,7,F,SE Asian,str8,Japan / USA,Asia / North America,English
Pretty Guardian Sailor Moon | 美少女戦士セーラームーン - Kaiou Michiru | Sailor Neptune,Kaiou Michiru | Sailor Neptune,Pretty Guardian Sailor Moon | 美少女戦士セーラームーン,2015,2021,6,F,E Asian,gay,Japan,Asia,Japanese
Pretty Guardian Sailor Moon | 美少女戦士セーラームーン - Tenoh Haruka | Sailor Uranus,Tenoh Haruka | Sailor Uranus,Pretty Guardian Sailor Moon | 美少女戦士セーラームーン,2015,2021,6,F | Other,E Asian,gay,Japan,Asia,Japanese
Puella Magi Madoka Magica | 魔法少女まどか☆マギカ - Akemi Homura,Akemi Homura,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ,2014,2017,4,F,E Asian,unspecified,Japan,Asia,Japanese
Puella Magi Madoka Magica | 魔法少女まどか☆マギカ - Kaname Madoka,Kaname Madoka,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ,2014,2017,4,F,E Asian,unspecified,Japan,Asia,Japanese
Puella Magi Madoka Magica | 魔法少女まどか☆マギカ - Miki Sayaka,Miki Sayaka,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ,2015,2015,1,F,E Asian,unspecified,Japan,Asia,Japanese
Puella Magi Madoka Magica | 魔法少女まどか☆マギカ - Sakura Kyouko,Sakura Kyouko,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ,2015,2015,1,F,E Asian,unspecified,Japan,Asia,Japanese
Queer as Folk - Brian Kinney,Brian Kinney,Queer as Folk,2013,2019,4,M,White,gay,USA,North America,English
Queer as Folk - Justin Taylor,Justin Taylor,Queer as Folk,2013,2019,4,M,White,gay,USA,North America,English
RWBY - Blake Belladonna,Blake Belladonna,RWBY,2015,2024,9,F,E Asian,bi,USA,North America,English
RWBY - Ruby Rose,Ruby Rose,RWBY,2015,2024,9,F,E Asian (Multi),unspecified,USA,North America,English
RWBY - Weiss Schnee,Weiss Schnee,RWBY,2015,2024,9,F,White,unspecified,USA,North America,English
RWBY - Xiao Long Yang,Xiao Long Yang,RWBY,2015,2024,9,F,E Asian,bi,USA,North America,English
Raven Cycle - Adam Parrish,Adam Parrish,Raven Cycle,2016,2016,1,M,White,bi,USA,North America,English
Raven Cycle - Ronan Lynch,Ronan Lynch,Raven Cycle,2016,2016,1,M,White,gay,USA,North America,English
Red Velvet - Bae Joohyun | Irene,Bae Joohyun | Irene,Red Velvet,2021,2021,1,F,E Asian,unspecified,South Korea,Asia,Korean
Red Velvet - Kang Seulgi | Seulgi,Kang Seulgi | Seulgi,Red Velvet,2021,2021,1,F,E Asian,unspecified,South Korea,Asia,Korean
Red White & Royal Blue - Alexander Gabriel 'Alex' Claremont-Diaz,Alexander Gabriel 'Alex' Claremont-Diaz,Red White & Royal Blue,2024,2024,1,M,Latin (Multi),bi,USA,North America,English
Red White & Royal Blue - Henry George Edward James Fox-Mountchristen-Windsor/Hanover-Stuart-Fox | Prince of Wales,Henry George Edward James Fox-Mountchristen-Windsor/Hanover-Stuart-Fox | Prince of Wales,Red White & Royal Blue,2024,2024,1,M,White,gay,USA,North America,English
Rizzoli & Isles - Jane Rizzoli,Jane Rizzoli,Rizzoli & Isles,2014,2024,10,F,White,str8,USA,North America,English
Rizzoli & Isles - Maura Isles,Maura Isles,Rizzoli & Isles,2014,2024,10,F,White,str8,USA,North America,English
Rookie Blue - Gail Peck,Gail Peck,Rookie Blue,2015,2017,3,F,White,bi,Canada,North America,English
Rookie Blue - Holly Stewart,Holly Stewart,Rookie Blue,2015,2017,3,F,White,gay,Canada,North America,English
Roswell New Mexico - Alex Manes,Alex Manes,Roswell New Mexico,2020,2020,1,M,White,gay,USA,North America,English
Roswell New Mexico - Michael Guerin,Michael Guerin,Roswell New Mexico,2020,2020,1,M,SE Eu (Multi),bi,USA,North America,English
SEVENTEEN - Jeon Wonwoo | Wonwoo,Jeon Wonwoo | Wonwoo,SEVENTEEN,2024,2024,1,M,E Asian,unspecified,South Korea,Asia,Korean
SEVENTEEN - Kim Mingyu | Mingyu,Kim Mingyu | Mingyu,SEVENTEEN,2024,2024,1,M,E Asian,unspecified,South Korea,Asia,Korean
SK8 the Infinity | SK∞ エスケーエイト - Hasegawa Langa,Hasegawa Langa,SK8 the Infinity | SK∞ エスケーエイト,2021,2021,1,M,E Asian (Multi),unspecified,Japan,Asia,Japanese
SK8 the Infinity | SK∞ エスケーエイト - Kyan Reki,Kyan Reki,SK8 the Infinity | SK∞ エスケーエイト,2021,2021,1,M,E Asian,unspecified,Japan,Asia,Japanese
SK8 the Infinity | SK∞ エスケーエイト - Nanjo Kojiro | Joe,Nanjo Kojiro | Joe,SK8 the Infinity | SK∞ エスケーエイト,2021,2022,2,M,E Asian,str8,Japan,Asia,Japanese
SK8 the Infinity | SK∞ エスケーエイト - Sakurayashiki Kaoru | Cherry Blossom,Sakurayashiki Kaoru | Cherry Blossom,SK8 the Infinity | SK∞ エスケーエイト,2021,2022,2,M,E Asian,unspecified,Japan,Asia,Japanese
SKAM - Even Bech Næsheim,Even Bech Næsheim,SKAM,2017,2019,2,M,White,bi,Norway,Europe,Norwegian
SKAM - Isak Valtersen,Isak Valtersen,SKAM,2017,2019,2,M,White,gay,Norway,Europe,Norwegian
SLAM DUNK | スラムダンク - Mitsui Hisashi,Mitsui Hisashi,SLAM DUNK | スラムダンク,2024,2024,1,M,E Asian,unspecified,Japan,Asia,Japanese
SLAM DUNK | スラムダンク - Miyagi Ryota,Miyagi Ryota,SLAM DUNK | スラムダンク,2024,2024,1,M,E Asian,str8,Japan,Asia,Japanese
Sanders Sides - Logan Sanders | Logic,Logan Sanders | Logic,Sanders Sides,2020,2020,1,M,White,gay,USA,North America,English
Sanders Sides - Patton Sanders | Morality,Patton Sanders | Morality,Sanders Sides,2020,2020,1,M,White,gay,USA,North America,English
Sanders Sides - Roman 'Princey' Sanders | Creativity,Roman 'Princey' Sanders | Creativity,Sanders Sides,2019,2020,2,M,White,gay,USA,North America,English
Sanders Sides - Virgil Sanders | Anxiety,Virgil Sanders | Anxiety,Sanders Sides,2019,2020,2,M,White,gay,USA,North America,English
Schitt's Creek - David Rose,David Rose,Schitt's Creek,2020,2021,2,M,White,bi,USA,North America,English
Schitt's Creek - Patrick Brewer,Patrick Brewer,Schitt's Creek,2020,2021,2,M,White,gay,USA,North America,English
Seraph of the End | 終わりのセラフ - Hyakuya Mikaela,Hyakuya Mikaela,Seraph of the End | 終わりのセラフ,2016,2016,1,M,E Asian,unspecified,Japan,Asia,Japanese
Seraph of the End | 終わりのセラフ - Hyakuya Yuuichirou,Hyakuya Yuuichirou,Seraph of the End | 終わりのセラフ,2016,2016,1,M,E Asian,unspecified,Japan,Asia,Japanese
Shadow and Bone Universe - Aleksander Morozova | The Darkling,Aleksander Morozova | The Darkling,Shadow and Bone Universe,2022,2022,1,M,White,str8,USA,North America,English
Shadow and Bone Universe - Alina Starkov,Alina Starkov,Shadow and Bone Universe,2022,2022,1,F,E Asian (Multi),str8,USA,North America,English
Shadow and Bone Universe - Jesper Fahey,Jesper Fahey,Shadow and Bone Universe,2023,2023,1,M,Black,bi,USA,North America,English
Shadow and Bone Universe - Wylan Van Eck,Wylan Van Eck,Shadow and Bone Universe,2023,2023,1,M,White,gay,USA,North America,English
Shameless - Ian Gallagher,Ian Gallagher,Shameless,2013,2024,11,M,White,gay,USA,North America,English
Shameless - Mickey Milkovich,Mickey Milkovich,Shameless,2013,2024,11,M,White,gay,USA,North America,English
She-Ra and the Princesses of Power - Adora,Adora,She-Ra and the Princesses of Power,2019,2024,6,F,White,gay,USA,North America,English
She-Ra and the Princesses of Power - Catra,Catra,She-Ra and the Princesses of Power,2019,2024,6,F,Latin,gay,USA,North America,English
She-Ra and the Princesses of Power - Glimmer,Glimmer,She-Ra and the Princesses of Power,2020,2022,3,F,E Asian (Multi),bi,USA,North America,English
She-Ra and the Princesses of Power - Perfuma,Perfuma,She-Ra and the Princesses of Power,2021,2022,2,F,Latin,gay,USA,North America,English
She-Ra and the Princesses of Power - Scorpia,Scorpia,She-Ra and the Princesses of Power,2021,2022,2,F,Asian (Multi),gay,USA,North America,English
Sherlock - Clara,Clara,Sherlock,2015,2015,1,F,Unknown,gay,UK,Europe,English
Sherlock - Greg Lestrade,Greg Lestrade,Sherlock,2013,2024,11,M,White,str8,UK,Europe,English
Sherlock - Harriet 'Harry' Watson,Harriet 'Harry' Watson,Sherlock,2015,2015,1,F,Unknown,gay,UK,Europe,English
Sherlock - Irene Adler,Irene Adler,Sherlock,2014,2017,4,F,White,bi,UK,Europe,English
Sherlock - James 'Jim' Moriarty,James 'Jim' Moriarty,Sherlock,2013,2017,5,M,White,unspecified,UK,Europe,English
Sherlock - John Watson,John Watson,Sherlock,2013,2024,11,M,White,str8,UK,Europe,English
Sherlock - Mary Morstan,Mary Morstan,Sherlock,2013,2019,6,F,White,str8,UK,Europe,English
Sherlock - Molly Hooper,Molly Hooper,Sherlock,2014,2022,8,F,White,str8,UK,Europe,English
Sherlock - Mycroft Holmes,Mycroft Holmes,Sherlock,2013,2024,11,M,White,unspecified,UK,Europe,English
Sherlock - Sebastian Moran,Sebastian Moran,Sherlock,2013,2017,5,M,White,unspecified,UK,Europe,English
Sherlock - Sherlock Holmes,Sherlock Holmes,Sherlock,2013,2024,11,M,White,str8,UK,Europe,English
Skins - Emily Fitch,Emily Fitch,Skins,2015,2015,1,F,White,gay,UK,Europe,English
Skins - Naomi Campbell,Naomi Campbell,Skins,2015,2015,1,F,White,gay,UK,Europe,English
South Park - Craig Tucker,Craig Tucker,South Park,2019,2023,2,M,White,gay,USA,North America,English
South Park - Kyle Broflovski,Kyle Broflovski,South Park,2023,2023,1,M,White,str8,USA,North America,English
South Park - Stan Marsh,Stan Marsh,South Park,2023,2023,1,M,White,str8,USA,North America,English
South Park - Tweek Tweak,Tweek Tweak,South Park,2019,2023,2,M,White,gay,USA,North America,English
Spartacus - Agron,Agron,Spartacus,2013,2013,1,M,White,gay,USA,North America,English
Spartacus - Nasir,Nasir,Spartacus,2013,2013,1,M,MENA,gay,USA,North America,English
Star Trek - James T. Kirk,James T. Kirk,Star Trek,2013,2024,11,M,White,str8,USA,North America,English
Star Trek - Kathryn Janeway,Kathryn Janeway,Star Trek,2019,2024,6,F,White,str8,USA,North America,English
Star Trek - Leonard 'Bones' McCoy,Leonard 'Bones' McCoy,Star Trek,2013,2021,8,M,White,str8,USA,North America,English
Star Trek - Nyota Uhura,Nyota Uhura,Star Trek,2013,2014,2,F,Black,str8,USA,North America,English
Star Trek - Seven of Nine,Seven of Nine,Star Trek,2019,2024,6,F,White,bi,USA,North America,English
Star Trek - Spock,Spock,Star Trek,2013,2024,11,M,White,str8,USA,North America,English
Star Wars Universe - Anakin Skywalker | Darth Vader,Anakin Skywalker | Darth Vader,Star Wars Universe,2020,2023,4,M,White,str8,USA,North America,English
Star Wars Universe - Armitage Hux,Armitage Hux,Star Wars Universe,2016,2024,8,M,White,unspecified,USA,North America,English
Star Wars Universe - Baze Malbus,Baze Malbus,Star Wars Universe,2017,2017,1,M,E Asian,unspecified,USA,North America,English
Star Wars Universe - Ben Solo | Kylo Ren,Ben Solo | Kylo Ren,Star Wars Universe,2016,2024,8,M,White,str8,USA,North America,English
Star Wars Universe - Cassian Andor,Cassian Andor,Star Wars Universe,2017,2017,1,M,Latin (Multi),str8,USA,North America,English
Star Wars Universe - Chirrut Îmwe,Chirrut Îmwe,Star Wars Universe,2017,2017,1,M,E Asian,unspecified,USA,North America,English
Star Wars Universe - Finn,Finn,Star Wars Universe,2016,2021,5,M,Black,str8,USA,North America,English
Star Wars Universe - Han Solo,Han Solo,Star Wars Universe,2016,2016,1,M,White,str8,USA,North America,English
Star Wars Universe - Jessika Pava,Jessika Pava,Star Wars Universe,2016,2016,1,F,SE Asian (Multi),unspecified,USA,North America,English
Star Wars Universe - Jyn Erso,Jyn Erso,Star Wars Universe,2017,2017,1,F,White,str8,USA,North America,English
Star Wars Universe - Leia Organa,Leia Organa,Star Wars Universe,2016,2016,1,F,White,str8,USA,North America,English
Star Wars Universe - Obi-Wan Kenobi,Obi-Wan Kenobi,Star Wars Universe,2021,2023,3,M,White,str8,USA,North America,English
Star Wars Universe - Padmé Amidala,Padmé Amidala,Star Wars Universe,2020,2021,2,F,White,str8,USA,North America,English
Star Wars Universe - Poe Dameron,Poe Dameron,Star Wars Universe,2016,2021,5,M,Latin,unspecified,USA,North America,English
Star Wars Universe - Rey,Rey,Star Wars Universe,2016,2024,8,F,White,str8,USA,North America,English
Stargate - Daniel Jackson,Daniel Jackson,Stargate,2013,2016,4,M,White,str8,USA,North America,English
Stargate - Jack O'Neill,Jack O'Neill,Stargate,2013,2016,4,M,White,str8,USA,North America,English
Stargate - Janet Fraiser,Janet Fraiser,Stargate,2014,2017,4,F,White,str8,USA,North America,English
Stargate - John Sheppard,John Sheppard,Stargate,2013,2024,11,M,White,str8,USA,North America,English
Stargate - Rodney McKay,Rodney McKay,Stargate,2013,2024,11,M,White,str8,USA,North America,English
Stargate - Sam Carter,Sam Carter,Stargate,2013,2017,5,F,White,str8,USA,North America,English
Steven Universe - Amethyst,Amethyst,Steven Universe,2016,2021,5,F | Other,N.H.,unspecified,USA,North America,English
Steven Universe - Garnet,Garnet,Steven Universe,2016,2017,2,F | Other,N.H.,unspecified,USA,North America,English
Steven Universe - Jasper,Jasper,Steven Universe,2016,2016,1,F | Other,N.H.,unspecified,USA,North America,English
Steven Universe - Lapis Lazuli,Lapis Lazuli,Steven Universe,2016,2024,8,F | Other,N.H.,unspecified,USA,North America,English
Steven Universe - Pearl,Pearl,Steven Universe,2016,2022,6,F | Other,N.H.,gay,USA,North America,English
Steven Universe - Peridot,Peridot,Steven Universe,2016,2024,8,F | Other,N.H.,acearo,USA,North America,English
Steven Universe - Rose Quartz | Pink Diamond,Rose Quartz | Pink Diamond,Steven Universe,2016,2022,6,F | Other,N.H.,bi,USA,North America,English
Steven Universe - Ruby,Ruby,Steven Universe,2016,2024,8,F | Other,N.H.,gay,USA,North America,English
Steven Universe - Sapphire,Sapphire,Steven Universe,2016,2024,8,F | Other,N.H.,gay,USA,North America,English
Stranger Things - Billy Hargrove,Billy Hargrove,Stranger Things,2019,2020,2,M,White,str8,USA,North America,English
Stranger Things - Chrissy Cunningham,Chrissy Cunningham,Stranger Things,2023,2023,1,F,White,str8,USA,North America,English
Stranger Things - Eddie Munson,Eddie Munson,Stranger Things,2022,2024,3,M,White,str8,USA,North America,English
Stranger Things - Jane Hopper | Eleven,Jane Hopper | Eleven,Stranger Things,2019,2024,4,F,White,str8,USA,North America,English
Stranger Things - Jim 'Chief' Hopper,Jim 'Chief' Hopper,Stranger Things,2023,2023,1,M,White,str8,USA,North America,English
Stranger Things - Joyce Byers,Joyce Byers,Stranger Things,2023,2023,1,F,White,str8,USA,North America,English
Stranger Things - Lucas Sinclair,Lucas Sinclair,Stranger Things,2023,2023,1,M,Black,str8,USA,North America,English
Stranger Things - Maxine 'Max' Mayfield,Maxine 'Max' Mayfield,Stranger Things,2022,2024,3,F,White,str8,USA,North America,English
Stranger Things - Mike Wheeler,Mike Wheeler,Stranger Things,2019,2023,3,M,White,str8,USA,North America,English
Stranger Things - Nancy Wheeler,Nancy Wheeler,Stranger Things,2022,2024,3,F,White,str8,USA,North America,English
Stranger Things - Robin Buckley,Robin Buckley,Stranger Things,2022,2024,3,F,White,gay,USA,North America,English
Stranger Things - Steve Harrington,Steve Harrington,Stranger Things,2019,2024,5,M,White,str8,USA,North America,English
Stranger Things - Will Byers,Will Byers,Stranger Things,2022,2023,2,M,White,gay,USA,North America,English
Stranger Things - Y/N | Reader,Y/N | Reader,Stranger Things,2022,2023,2,Ambig,Ambig,unspecified,USA,North America,English
Stray Kids - Felix Lee | Felix,Felix Lee | Felix,Stray Kids,2023,2024,2,M,E Asian,unspecified,Australia,Oceania,Korean
Stray Kids - Han Jisung | Han,Han Jisung | Han,Stray Kids,2020,2024,5,M,E Asian,unspecified,South Korea,Asia,Korean
Stray Kids - Hwang Hyunjin | Hyunjin,Hwang Hyunjin | Hyunjin,Stray Kids,2023,2024,2,M,E Asian,unspecified,South Korea,Asia,Korean
Stray Kids - Lee Minho | Lee Know,Lee Minho | Lee Know,Stray Kids,2020,2024,5,M,E Asian,unspecified,South Korea,Asia,Korean
Suits - Harvey Specter,Harvey Specter,Suits,2013,2014,2,M,White,str8,USA,North America,English
Suits - Mike Ross,Mike Ross,Suits,2013,2014,2,M,White,str8,USA,North America,English
Super-Vocal | 声入人心 - Ayanga,Ayanga,Super-Vocal | 声入人心,2019,2020,2,M,E Asian,unspecified,China,Asia,Chinese
Super-Vocal | 声入人心 - Zhèng Yúnlóng,Zhèng Yúnlóng,Super-Vocal | 声入人心,2019,2020,2,M,E Asian,unspecified,China,Asia,Chinese
Supernatural - Anna Milton,Anna Milton,Supernatural,2014,2015,2,F,White,str8,USA,North America,English
Supernatural - Castiel,Castiel,Supernatural,2013,2024,11,M,White,bi,USA,North America,English
Supernatural - Charlie Bradbury,Charlie Bradbury,Supernatural,2015,2020,5,F,White,gay,USA,North America,English
Supernatural - Dean Winchester,Dean Winchester,Supernatural,2013,2024,11,M,White,str8,USA,North America,English
Supernatural - Dorothy Baum,Dorothy Baum,Supernatural,2015,2019,4,F,White,unspecified,USA,North America,English
Supernatural - Gabriel,Gabriel,Supernatural,2013,2024,11,M,White,str8,USA,North America,English
Supernatural - Gilda,Gilda,Supernatural,2015,2015,1,F,Latin (Multi),gay,USA,North America,English
Supernatural - Jared Padalecki,Jared Padalecki,Supernatural,2013,2024,11,M,White,str8,USA,North America,English
Supernatural - Jensen Ackles,Jensen Ackles,Supernatural,2013,2024,11,M,White,str8,USA,North America,English
Supernatural - Jessica Moore,Jessica Moore,Supernatural,2013,2017,5,F,White,str8,USA,North America,English
Supernatural - Jo Harvelle,Jo Harvelle,Supernatural,2015,2020,5,F,White,str8,USA,North America,English
Supernatural - Lucifer,Lucifer,Supernatural,2013,2014,2,M,White,str8,USA,North America,English
Supernatural - Ruby,Ruby,Supernatural,2014,2015,2,F,White,str8,USA,North America,English
Supernatural - Sam Winchester,Sam Winchester,Supernatural,2013,2024,11,M,White,str8,USA,North America,English
Supernatural - Y/N | Reader,Y/N | Reader,Supernatural,2016,2023,6,Ambig,Ambig,unspecified,USA,North America,English
TOMORROW X TOGETHER / TXT - Choi Soobin | Soobin,Choi Soobin | Soobin,TOMORROW X TOGETHER / TXT,2023,2023,1,M,E Asian,unspecified,South Korea,Asia,Korean
TOMORROW X TOGETHER / TXT - Choi Yeonjun | Yeonjun,Choi Yeonjun | Yeonjun,TOMORROW X TOGETHER / TXT,2023,2023,1,M,E Asian,unspecified,South Korea,Asia,Korean
Teen Wolf - Allison Argent,Allison Argent,Teen Wolf,2013,2024,11,F,White,str8,USA,North America,English
Teen Wolf - Cora Hale,Cora Hale,Teen Wolf,2014,2017,4,F,White,unspecified,USA,North America,English
Teen Wolf - Derek Hale,Derek Hale,Teen Wolf,2013,2024,11,M,White,str8,USA,North America,English
Teen Wolf - Erica Reyes,Erica Reyes,Teen Wolf,2013,2016,4,F,White,str8,USA,North America,English
Teen Wolf - Isaac Lahey,Isaac Lahey,Teen Wolf,2013,2015,3,M,White,str8,USA,North America,English
Teen Wolf - Jackson Whittemore,Jackson Whittemore,Teen Wolf,2013,2016,4,M,White,bi,USA,North America,English
Teen Wolf - Kira Yukimura,Kira Yukimura,Teen Wolf,2015,2021,6,F,E Asian,str8,USA,North America,English
Teen Wolf - Liam Dunbar,Liam Dunbar,Teen Wolf,2019,2019,1,M,White,str8,USA,North America,English
Teen Wolf - Lydia Martin,Lydia Martin,Teen Wolf,2013,2024,11,F,White,str8,USA,North America,English
Teen Wolf - Malia Tate,Malia Tate,Teen Wolf,2015,2021,6,F,White,str8,USA,North America,English
Teen Wolf - Peter Hale,Peter Hale,Teen Wolf,2014,2022,8,M,White,str8,USA,North America,English
Teen Wolf - Scott McCall,Scott McCall,Teen Wolf,2013,2020,7,M,Latin (Multi),str8,USA,North America,English
Teen Wolf - Stiles Stilinski,Stiles Stilinski,Teen Wolf,2013,2024,11,M,White,str8,USA,North America,English
Teen Wolf - Theo Raeken,Theo Raeken,Teen Wolf,2019,2019,1,M,Am Ind,str8,USA,North America,English
Teen Wolf - Vernon Boyd,Vernon Boyd,Teen Wolf,2013,2016,4,M,Black,unspecified,USA,North America,English
Teenage Mutant Ninja Turtles - Donatello,Donatello,Teenage Mutant Ninja Turtles,2023,2024,2,M,N.H.,unspecified,USA,North America,English
Teenage Mutant Ninja Turtles - Leonardo,Leonardo,Teenage Mutant Ninja Turtles,2023,2024,2,M,N.H.,unspecified,USA,North America,English
Teenage Mutant Ninja Turtles - Michelangelo,Michelangelo,Teenage Mutant Ninja Turtles,2023,2024,2,M,N.H.,unspecified,USA,North America,English
Teenage Mutant Ninja Turtles - Raphael,Raphael,Teenage Mutant Ninja Turtles,2023,2024,2,M,N.H.,unspecified,USA,North America,English
The 100 - Alicia Clark,Alicia Clark,The 100,2016,2016,1,F,White,str8,USA,North America,English
The 100 - Anya,Anya,The 100,2016,2023,7,F,S Asian (Multi),unspecified,USA,North America,English
The 100 - Bellamy Blake,Bellamy Blake,The 100,2015,2024,9,M,SE Asian (Multi),str8,USA,North America,English
The 100 - Clarke Griffin,Clarke Griffin,The 100,2015,2024,9,F,White,bi,USA,North America,English
The 100 - Costia,Costia,The 100,2016,2017,2,F,Unknown,gay,USA,North America,English
The 100 - Elyza Lex,Elyza Lex,The 100,2016,2016,1,F,White,queer_unspecified,USA,North America,English
The 100 - Lexa,Lexa,The 100,2015,2024,9,F,White,gay,USA,North America,English
The 100 - Lincoln,Lincoln,The 100,2016,2016,1,M,Black (Multi),str8,USA,North America,English
The 100 - Octavia Blake,Octavia Blake,The 100,2016,2019,3,F,SE Eu,bi,USA,North America,English
The 100 - Raven Reyes,Raven Reyes,The 100,2015,2023,8,F,Latin (Multi),str8,USA,North America,English
The Closer - Brenda Leigh Johnson,Brenda Leigh Johnson,The Closer,2015,2016,2,F,White,str8,USA,North America,English
The Closer - Sharon Raydor,Sharon Raydor,The Closer,2015,2016,2,F,White,str8,USA,North America,English
The Devil Wears Prada - Andrea Sachs,Andrea Sachs,The Devil Wears Prada,2014,2024,10,F,White,str8,USA,North America,English
The Devil Wears Prada - Miranda Priestly,Miranda Priestly,The Devil Wears Prada,2014,2024,10,F,White,str8,USA,North America,English
The Good Wife - Alicia Florrick,Alicia Florrick,The Good Wife,2014,2016,3,F,White,str8,USA,North America,English
The Good Wife - Kalinda Sharma,Kalinda Sharma,The Good Wife,2014,2016,3,F,S Asian,bi,USA,North America,English
The Haunting of Bly Manor - Dani Clayton,Dani Clayton,The Haunting of Bly Manor,2021,2024,4,F,White,gay,USA,North America,English
The Haunting of Bly Manor - Jamie Taylor,Jamie Taylor,The Haunting of Bly Manor,2021,2024,4,F,White,gay,USA,North America,English
The Last of Us - Dina,Dina,The Last of Us,2021,2024,4,F,White,bi,USA,North America,English
The Last of Us - Ellie,Ellie,The Last of Us,2021,2024,4,F,White,gay,USA,North America,English
The Last of Us - Joel,Joel,The Last of Us,2023,2023,1,M,Ambig,str8,USA,North America,English
The Legend of Zelda - Link,Link,The Legend of Zelda,2024,2024,1,F,White,str8,Japan,Asia,Japanese
The Legend of Zelda - Zelda,Zelda,The Legend of Zelda,2024,2024,1,M,White,str8,Japan,Asia,Japanese
The Locked Tomb / Gideon the Ninth - Gideon Nav,Gideon Nav,The Locked Tomb / Gideon the Ninth,2022,2024,3,F,Māori Ind (Multi),gay,New Zealand,Oceania,English
The Locked Tomb / Gideon the Ninth - Harrowhark Nonagesimus,Harrowhark Nonagesimus,The Locked Tomb / Gideon the Ninth,2022,2024,3,F,Māori Ind (Multi),unspecified,New Zealand,Oceania,English
The Magnus Archives - Jonathan 'Jon' Sims | The Archivist,Jonathan 'Jon' Sims | The Archivist,The Magnus Archives,2020,2021,2,M,Ambig,bi,UK,Europe,English
The Magnus Archives - Martin Blackwood,Martin Blackwood,The Magnus Archives,2020,2021,2,M,Ambig,gay,UK,Europe,English
The Man From U.N.C.L.E. - Illya Kuryakin,Illya Kuryakin,The Man From U.N.C.L.E.,2016,2016,1,M,White,unspecified,USA,North America,English
The Man From U.N.C.L.E. - Napoleon Solo,Napoleon Solo,The Man From U.N.C.L.E.,2016,2016,1,M,White,unspecified,USA,North America,English
The Old Guard - Andromache 'Andy' of Scythia,Andromache 'Andy' of Scythia,The Old Guard,2021,2023,3,F,White,bi,USA,North America,English
The Old Guard - Nicolò 'Nicky' di Genova,Nicolò 'Nicky' di Genova,The Old Guard,2021,2021,1,M,White,gay,USA,North America,English
The Old Guard - Quỳnh/Noriko,Quỳnh/Noriko,The Old Guard,2021,2023,3,F,SE Asian,gay,USA,North America,English
The Old Guard - Yusuf 'Joe' Al-Kaysani,Yusuf 'Joe' Al-Kaysani,The Old Guard,2021,2021,1,M,MENA,gay,USA,North America,English
